name,has_test,experience,salary_range,alternate_url
Frontend-разработчик (React + Redux),False,От 1 года до 3 лет,,https://hh.ru/vacancy/118870757
"Junior разработчик (Python, SQL)",False,Нет опыта,,https://hh.ru/vacancy/118852951
Junior Backend Developer (младший разработчик),False,От 1 года до 3 лет,60000.0,https://hh.ru/vacancy/118916292
Младший разработчик ИИ,False,Нет опыта,,https://hh.ru/vacancy/118826628
Java Developer,False,От 3 до 6 лет,,https://hh.ru/vacancy/118778003
Junior Frontend-разработчик,False,От 1 года до 3 лет,50000.0,https://hh.ru/vacancy/118460531
Java Junior developer,False,От 1 года до 3 лет,120000.0,https://hh.ru/vacancy/118941847
Младший программист Python/junior programmer Python,False,Нет опыта,60000.0,https://hh.ru/vacancy/118911333
Начинающий разработчик C/C++,False,Нет опыта,111600.0,https://hh.ru/vacancy/118349674
Frontend-разработчик Junior/Middle,False,От 1 года до 3 лет,80000.0,https://hh.ru/vacancy/118876971
Программист (Junior - младший разработчик),False,Нет опыта,50000.0,https://hh.ru/vacancy/118263819
Junior программист,False,Нет опыта,40000.0,https://hh.ru/vacancy/118845802
Младший разработчик C#,False,От 1 года до 3 лет,,https://hh.ru/vacancy/118975821
Junior Python разработчик,True,Нет опыта,72680.0,https://hh.ru/vacancy/118429816
Intern Unity developer (Стажер),True,Нет опыта,,https://hh.ru/vacancy/118947312
Trainee .NET Developer,False,Нет опыта,,https://hh.ru/vacancy/118763388
Frontend-разработчик,False,От 3 до 6 лет,,https://hh.ru/vacancy/118773852
C# (.Net) Junior developer,False,Нет опыта,75000.0,https://hh.ru/vacancy/118912881
"Junior программист (html, php, go, java)",False,Нет опыта,,https://hh.ru/vacancy/118721032
Java Developer,False,От 3 до 6 лет,,https://hh.ru/vacancy/117443827
Junior frontend разработчик,False,Нет опыта,,https://hh.ru/vacancy/118665028
"Стажер-Frontend Developer (Vue, React)",False,Нет опыта,,https://hh.ru/vacancy/118421877
.NET разработчик (middle/senior),False,От 3 до 6 лет,,https://hh.ru/vacancy/118210094
.NET разработчик,False,Более 6 лет,,https://hh.ru/vacancy/118834041
Младший разработчик C#,False,Нет опыта,80000.0,https://hh.ru/vacancy/118547392
Junior разработчик C# .NET,False,Нет опыта,,https://hh.ru/vacancy/118750480
Frontend разработчик,False,Более 6 лет,,https://hh.ru/vacancy/118278705
Младший разработчик,True,Нет опыта,,https://hh.ru/vacancy/114981365
Младший разработчик,False,Нет опыта,60000.0,https://hh.ru/vacancy/118290532
Junior developer TypeScript (JavaScript),False,Нет опыта,800.0,https://hh.ru/vacancy/116105297
